date	software	job
2005-11-01	R	0.0079870253344059
2005-12-01	R	0.00735747140661901
2006-01-01	R	0.00933959775034463
2006-02-01	R	0.0147993242267669
2006-03-01	R	0.0144482044697462
2006-04-01	R	0.0154504940028671
2006-06-01	R	0.015884035663088
2006-07-01	R	0.0168156195318489
2006-08-01	R	0.0165306740715531
2006-09-01	R	0.0123476910436627
2006-10-01	R	0.0132602513329827
2006-11-01	R	0.0136436785165475
2006-12-01	R	0.0151188468797376
2007-01-01	R	0.0131871371038437
2007-02-01	R	0.0133206287449852
2007-03-01	R	0.0164794818642162
2007-04-01	R	0.01559860032521
2007-06-01	R	0.0112120731619277
2007-07-01	R	0.0121712534678176
2007-08-01	R	0.00995382259212276
2007-09-01	R	0.0125720957994286
2007-10-01	R	0.0118998612872951
2007-11-01	R	0.0129735504780174
2007-12-01	R	0.0146352152367398
2008-01-01	R	0.0187299794767076
2008-02-01	R	0.0190382349452884
2008-03-01	R	0.0185152906263214
2008-04-01	R	0.014602760846921
2008-05-01	R	0.0145227883316317
2008-06-01	R	0.0130562173200087
2008-07-01	R	0.0116028321799724
2008-08-01	R	0.0108855697534111
2008-09-01	R	0.0138814161071749
2008-10-01	R	0.0186212266534658
2008-11-01	R	0.0204689224240174
2008-12-01	R	0.0240060835060796
2009-01-01	R	0.0214567605684643
2009-02-01	R	0.0163680347142725
2009-03-01	R	0.0147917719473751
2009-04-01	R	0.015461761187257
2009-05-01	R	0.0189369527551747
2009-06-01	R	0.0168210081852528
2009-07-01	R	0.013223755453111
2009-08-01	R	0.0155912113383456
2009-09-01	R	0.0225181415849345
2009-10-01	R	0.026498376528504
2009-11-01	R	0.026531035033982
2009-12-01	R	0.0338360895393088
2010-01-01	R	0.0339094487072388
2010-02-01	R	0.0301246790012685
2010-03-01	R	0.027719396402064
2010-04-01	R	0.0382660525148768
2010-05-01	R	0.0375824895836556
2010-06-01	R	0.0332260286569791
2010-07-01	R	0.0289391507585368
2010-08-01	R	0.0288551367531945
2010-09-01	R	0.0285943994100843
2010-10-01	R	0.0309324626403886
2010-11-01	R	0.0339460180687479
2010-12-01	R	0.0381402356225227
2011-01-01	R	0.0382393541866485
2011-02-01	R	0.0376839963009945
2011-03-01	R	0.0379508162907501
2011-04-01	R	0.0423827387766468
2011-05-01	R	0.0418734293837168
2011-06-01	R	0.0382898932238758
2011-07-01	R	0.0378418185287171
2011-08-01	R	0.0396193393356229
2011-09-01	R	0.0377478110206986
2011-10-01	R	0.0417348756742262
2011-11-01	R	0.0456737363736683
2011-12-01	R	0.0470887477697679
2012-01-01	R	0.0471045463217928
2012-02-01	R	0.0493212423811144
2012-03-01	R	0.0506162337695822
2012-04-01	R	0.0513904444650709
2012-05-01	R	0.0568493136557243
2012-06-01	R	0.0564328687231212
2012-07-01	R	0.0527534471911966
2012-08-01	R	0.059068508090715
2012-09-01	R	0.0643914076761239
2012-10-01	R	0.0628869078927013
2012-11-01	R	0.0665411007291441
2012-12-01	R	0.0693813007281128
2013-01-01	R	0.0681494014899154
2013-02-01	R	0.0697835514577726
2013-03-01	R	0.0770378423986469
2013-04-01	R	0.080067878125333
2013-05-01	R	0.077095647953343
2013-06-01	R	0.0669550799445837
2013-07-01	R	0.0661708267586605
2013-08-01	R	0.0684128739828594
2013-09-01	R	0.0681686700081474
2013-10-01	R	0.066446505368027
2013-11-01	R	0.0695454219650795
2013-12-01	R	0.0692549123119128
2014-01-01	R	0.0644070837587533
2014-02-01	R	0.0622483361350893
2014-03-01	R	0.0678042010870126
2014-04-01	R	0.0679567979538587
2014-05-01	R	0.0691165831296474
2014-06-01	R	0.0688503346637377
2014-07-01	R	0.0759481709518064
2014-08-01	R	0.0795283187917041
2014-09-01	R	0.079950348328744
2014-10-01	R	0.078992270247414
2014-11-01	R	0.0744310609029561
2014-12-01	R	0.0829474193764632
2015-01-01	R	0.0759945460295852
2005-01-01	Statistica	0.000548367074597516
2005-04-01	Statistica	1.96331391627042e-06
2005-05-01	Statistica	1.41972137570308e-05
2005-06-01	Statistica	0.000145782704918736
2005-07-01	Statistica	0.00034152765876923
2005-08-01	Statistica	0.000586477542748883
2005-09-01	Statistica	0.00121242951145597
2005-10-01	Statistica	0.00143666046431962
2005-11-01	Statistica	0.000568313934963091
2005-12-01	Statistica	0.000274968249329667
2006-01-01	Statistica	0.000270856246098335
2006-02-01	Statistica	0.000178812496137926
2006-03-01	Statistica	1.42432289269435e-05
2006-06-01	Statistica	1.91423106836378e-06
2006-07-01	Statistica	3.87113694615746e-05
2006-09-01	Statistica	9.47616887592624e-05
2006-10-01	Statistica	0.000121308258601562
2006-11-01	Statistica	0.000106487079140516
2006-12-01	Statistica	0.00014159890341435
2007-01-01	Statistica	0.000539633132404278
2007-02-01	Statistica	0.000735260589692829
2007-03-01	Statistica	0.000329879324522063
2007-04-01	Statistica	4.63685664175179e-05
2007-05-01	Statistica	0.000168375084306517
2007-06-01	Statistica	0.000299636470640141
2007-07-01	Statistica	0.00017770997266682
2007-08-01	Statistica	4.25266064976161e-05
2007-09-01	Statistica	5.65434407885895e-05
2007-10-01	Statistica	2.48129134558652e-05
2007-12-01	Statistica	9.09646284900026e-05
2008-01-01	Statistica	0.000117794744738903
2008-02-01	Statistica	0.000104001441917771
2008-03-01	Statistica	8.39112187339347e-05
2009-07-01	Statistica	1.28106233036648e-05
2009-08-01	Statistica	0.000114857167755047
2009-09-01	Statistica	0.000180974595588219
2009-10-01	Statistica	0.000108597334832707
2010-01-01	Statistica	0.000128693339409687
2010-02-01	Statistica	0.000577725786324861
2010-03-01	Statistica	0.000733025491305036
2010-04-01	Statistica	0.00112381712632142
2010-05-01	Statistica	0.00102845490968624
2010-06-01	Statistica	0.000488936136296292
2010-07-01	Statistica	0.000216872563476026
2010-08-01	Statistica	0.000102474760836005
2010-09-01	Statistica	1.12522428826251e-05
2010-11-01	Statistica	0.000117969091104905
2010-12-01	Statistica	0.00059347396640959
2011-01-01	Statistica	0.00115766675907499
2011-02-01	Statistica	0.00147544958106472
2011-03-01	Statistica	0.00120616338540876
2011-04-01	Statistica	0.000844474666309565
2011-05-01	Statistica	0.00137265497621068
2011-06-01	Statistica	0.00158388100564591
2011-07-01	Statistica	0.00106552300165871
2011-08-01	Statistica	0.000789325818612588
2011-09-01	Statistica	0.00121933999642628
2011-10-01	Statistica	0.00161883003847418
2011-11-01	Statistica	0.00174382747202355
2011-12-01	Statistica	0.0020196043349781
2012-01-01	Statistica	0.00233862082920884
2012-02-01	Statistica	0.00219182582078717
2012-03-01	Statistica	0.00187514955864364
2012-04-01	Statistica	0.00151315778573689
2012-05-01	Statistica	0.00105880951984037
2012-06-01	Statistica	0.000854908786146605
2012-07-01	Statistica	0.000919077860893109
2012-08-01	Statistica	0.000990778698650905
2012-09-01	Statistica	0.000984488966278795
2012-10-01	Statistica	0.000940657906542812
2012-11-01	Statistica	0.000987265519764579
2012-12-01	Statistica	0.000980610675427354
2013-01-01	Statistica	0.000876645341215751
2013-02-01	Statistica	0.00111090337781217
2013-03-01	Statistica	0.00135735445952222
2013-04-01	Statistica	0.0014064274446793
2013-05-01	Statistica	0.00169922672078613
2013-06-01	Statistica	0.0018730784944206
2013-07-01	Statistica	0.00153619104715799
2013-08-01	Statistica	0.00130336861745784
2013-09-01	Statistica	0.000966536902211956
2013-10-01	Statistica	0.00119428951867285
2013-11-01	Statistica	0.00161229142226951
2013-12-01	Statistica	0.00142633688998617
2014-01-01	Statistica	0.00117407915925728
2014-02-01	Statistica	0.00128602808299158
2014-03-01	Statistica	0.00151731253925227
2014-04-01	Statistica	0.00108045223586325
2014-05-01	Statistica	0.000775656524350372
2014-06-01	Statistica	0.000902395657534243
2014-07-01	Statistica	0.000929899095017553
2014-08-01	Statistica	0.000820023049740941
2014-09-01	Statistica	0.000656056683511747
2014-10-01	Statistica	0.000806541934283684
2014-11-01	Statistica	0.000637775221705237
2014-12-01	Statistica	0.000252768281733305
2015-01-01	Statistica	0.00071613592995642
2005-01-01	matlab	0.132084515331265
2005-02-01	matlab	0.155866682393556
2005-03-01	matlab	0.175700933115036
2005-04-01	matlab	0.185536627243389
2005-05-01	matlab	0.16829471985895
2005-06-01	matlab	0.146006417983532
2005-07-01	matlab	0.152050498883592
2005-08-01	matlab	0.17494108028463
2005-09-01	matlab	0.184436829284069
2005-10-01	matlab	0.161111187184726
2005-11-01	matlab	0.155878193510979
2005-12-01	matlab	0.154061262859618
2006-01-01	matlab	0.155024187678759
2006-02-01	matlab	0.154377481193914
2006-03-01	matlab	0.1423991116379
2006-04-01	matlab	0.114063900699952
2006-05-01	matlab	0.116839032642959
2006-06-01	matlab	0.131017156891647
2006-07-01	matlab	0.142064406052088
2006-08-01	matlab	0.156271357711217
