	AM-F10-T1	AM-F10-T2	DA-AD-1	DA-AD-2	DA-AD-3	DA-AD-4	ES-AD-1	ES-AD-2	ES-AD-3	ES-AD-4	FR-AD-1	FR-AD-2	FR-AD-3	FR-AD-4	FR-AD-5	FR-AD-6	FR-AD-7	FR-AD-8	IT-AD-1	IT-AD-2	IT-AD-3	IT-AD-4	IT-AD-5	IT-AD-6	JP-AD-1	JP-AD-2	JP-AD-3	JP-AD-4	JP-AD-5	JP-AD-6	JP-AD-7	JP-AD-8	JP-AD-9
Tolumonas	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00001642	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Idiomarina	0.00000000	0.00000000	0.00000000	0.00000000	0.00001003	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Shewanella	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000366	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00003295	0.00000000	0.00001286	0.00000000	0.00007534	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00003218	0.00001763	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Cardiobacterium	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00002073	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Nitrosococcus	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00003255	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Enterococcus	0.00007221	0.00361745	0.00009719	0.00004103	0.00012505	0.00010678	0.00242827	0.00004249	0.00060557	0.00090945	0.00016616	0.00028561	0.00130696	0.00030653	0.00012083	0.01858714	0.00037467	0.00040599	0.00113673	0.00007629	0.00008879	0.00005253	0.00165846	0.00007738	0.00052874	0.00002543	0.00116993	0.00001772	0.00016095	0.00008273	0.00008590	0.00027512	0.00025397
Thioalkalivibrio	0.00000407	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00028847	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Enterobacteriaceae	0.00000000	0.00000913	0.00000000	0.00001038	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000411	0.00000000	0.00000000	0.00000000	0.00000295	0.00000000	0.00001593	0.00000000	0.00000000	0.00004977	0.00030093	0.00024722	0.00000000	0.00000381	0.00000000	0.00003833	0.00014257	0.00082315	0.00014941	0.00000554	0.00006636	0.00000000	0.00000000	0.00001780
Citrobacter	0.00000000	0.00000306	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000577	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00026683	0.00000000	0.00000000	0.00002286	0.00050493	0.00016392	0.00000000	0.00000267	0.00000000	0.00003686	0.00112185	0.00360996	0.00097248	0.00136463	0.00036342	0.00000000	0.00000000	0.00003507
Cronobacter	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00001702	0.00000000	0.00000000	0.00000000	0.00015045	0.00001993	0.00000000	0.00000314	0.00000000	0.00000000	0.00000000	0.00005652	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Dickeya	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00002499	0.00002415	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00002594	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Edwardsiella	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00006783	0.00000000	0.00000000	0.00000000	0.00007205	0.00001526	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00003305	0.00000000	0.00000000	0.00000000	0.00001437	0.00000000	0.00000000
Enterobacter	0.00000000	0.00000000	0.00000000	0.00000000	0.00001696	0.00000000	0.00000000	0.00000000	0.00000000	0.00002408	0.00000535	0.00000000	0.00000000	0.00000000	0.00000000	0.00003340	0.00000000	0.00000000	0.00000551	0.00123648	0.00038427	0.00001040	0.00002577	0.00001025	0.00000000	0.00110551	0.00143472	0.00017539	0.00013411	0.00003033	0.00000000	0.00000000	0.00000000
